algorithm_name,number,time
recursive,1,0.000001
recursive,2,0.000001
recursive,3,0.000001
recursive,4,0.000002
recursive,5,0.000001
recursive,6,0.000002
recursive,7,0.000001
recursive,8,0.000002
recursive,9,0.000002
recursive,10,0.000002
recursive,11,0.000003
recursive,12,0.000004
recursive,13,0.000004
recursive,14,0.000005
recursive,15,0.000008
recursive,16,0.000011
recursive,17,0.000017
recursive,18,0.000026
recursive,19,0.000042
recursive,20,0.000065
recursive,21,0.000104
recursive,22,0.000178
recursive,23,0.000353
recursive,24,0.000431
recursive,25,0.000706
recursive,26,0.001121
recursive,27,0.001843
recursive,28,0.003114
recursive,29,0.005539
recursive,30,0.008447
recursive,31,0.012889
recursive,32,0.022840
recursive,33,0.034836
recursive,34,0.056919
recursive,35,0.086141
recursive,36,0.159624
recursive,37,0.416508
recursive,38,0.384424
recursive,39,0.607603
iterative,1,0.000002
iterative,2,0.000002
iterative,3,0.000002
iterative,4,0.000002
iterative,5,0.000002
iterative,6,0.000002
iterative,7,0.000001
iterative,8,0.000001
iterative,9,0.000002
iterative,10,0.000002
iterative,11,0.000002
iterative,12,0.000002
iterative,13,0.000002
iterative,14,0.000001
iterative,15,0.000002
iterative,16,0.000003
iterative,17,0.000002
iterative,18,0.000001
iterative,19,0.000002
iterative,20,0.000002
iterative,21,0.000002
iterative,22,0.000002
iterative,23,0.000002
iterative,24,0.000001
iterative,25,0.000001
iterative,26,0.000002
iterative,27,0.000002
iterative,28,0.000002
iterative,29,0.000002
iterative,30,0.000002
iterative,31,0.000002
iterative,32,0.000001
iterative,33,0.000002
iterative,34,0.000001
iterative,35,0.000002
iterative,36,0.000003
iterative,37,0.000002
iterative,38,0.000001
iterative,39,0.000002
recursive,1,0.000001
recursive,2,0.000001
recursive,3,0.000001
recursive,4,0.000002
recursive,5,0.000001
recursive,6,0.000001
recursive,7,0.000001
recursive,8,0.000002
recursive,9,0.000002
recursive,10,0.000003
recursive,11,0.000003
recursive,12,0.000003
recursive,13,0.000004
recursive,14,0.000005
recursive,15,0.000007
recursive,16,0.000012
recursive,17,0.000017
recursive,18,0.000026
recursive,19,0.000041
recursive,20,0.000065
recursive,21,0.000103
recursive,22,0.000166
recursive,23,0.000456
recursive,24,0.000440
recursive,25,0.000867
recursive,26,0.001119
recursive,27,0.002266
recursive,28,0.003778
recursive,29,0.004732
recursive,30,0.007456
recursive,31,0.014804
recursive,32,0.020261
recursive,33,0.031702
recursive,34,0.055231
recursive,35,0.095870
recursive,36,0.206077
recursive,37,0.244044
recursive,38,0.438348
recursive,39,0.653395
iterative,1,0.000004
iterative,2,0.000004
iterative,3,0.000002
iterative,4,0.000002
iterative,5,0.000002
iterative,6,0.000002
iterative,7,0.000003
iterative,8,0.000002
iterative,9,0.000002
iterative,10,0.000002
iterative,11,0.000002
iterative,12,0.000002
iterative,13,0.000002
iterative,14,0.000001
iterative,15,0.000002
iterative,16,0.000003
iterative,17,0.000002
iterative,18,0.000001
iterative,19,0.000001
iterative,20,0.000002
iterative,21,0.000001
iterative,22,0.000002
iterative,23,0.000002
iterative,24,0.000002
iterative,25,0.000002
iterative,26,0.000002
iterative,27,0.000002
iterative,28,0.000001
iterative,29,0.000001
iterative,30,0.000002
iterative,31,0.000002
iterative,32,0.000002
iterative,33,0.000001
iterative,34,0.000002
iterative,35,0.000006
iterative,36,0.000003
iterative,37,0.000005
iterative,38,0.000002
iterative,39,0.000002
recursive,1,0.000002
recursive,2,0.000002
recursive,3,0.000001
recursive,4,0.000001
recursive,5,0.000002
recursive,6,0.000003
recursive,7,0.000002
recursive,8,0.000002
recursive,9,0.000002
recursive,10,0.000003
recursive,11,0.000004
recursive,12,0.000005
recursive,13,0.000007
recursive,14,0.000008
recursive,15,0.000012
recursive,16,0.000018
recursive,17,0.000026
recursive,18,0.000040
recursive,19,0.000062
recursive,20,0.000065
recursive,21,0.000130
recursive,22,0.000211
recursive,23,0.000366
recursive,24,0.000431
recursive,25,0.000867
recursive,26,0.001410
recursive,27,0.002299
recursive,28,0.003826
recursive,29,0.004701
recursive,30,0.007911
recursive,31,0.012451
recursive,32,0.020105
recursive,33,0.031901
recursive,34,0.051798
recursive,35,0.091259
recursive,36,0.154912
recursive,37,0.278558
recursive,38,0.449044
recursive,39,0.716544
iterative,1,0.000002
iterative,2,0.000002
iterative,3,0.000001
iterative,4,0.000002
iterative,5,0.000002
iterative,6,0.000001
iterative,7,0.000001
iterative,8,0.000001
iterative,9,0.000001
iterative,10,0.000001
iterative,11,0.000001
iterative,12,0.000002
iterative,13,0.000002
iterative,14,0.000001
iterative,15,0.000001
iterative,16,0.000001
iterative,17,0.000001
iterative,18,0.000001
iterative,19,0.000001
iterative,20,0.000001
iterative,21,0.000002
iterative,22,0.000001
iterative,23,0.000002
iterative,24,0.000002
iterative,25,0.000001
iterative,26,0.000002
iterative,27,0.000001
iterative,28,0.000002
iterative,29,0.000002
iterative,30,0.000002
iterative,31,0.000002
iterative,32,0.000002
iterative,33,0.000001
iterative,34,0.000002
iterative,35,0.000007
iterative,36,0.000002
iterative,37,0.000002
iterative,38,0.000002
iterative,39,0.000002
recursive,1,0.000001
recursive,2,0.000001
recursive,3,0.000001
recursive,4,0.000001
recursive,5,0.000001
recursive,6,0.000001
recursive,7,0.000001
recursive,8,0.000002
recursive,9,0.000002
recursive,10,0.000004
recursive,11,0.000003
recursive,12,0.000003
recursive,13,0.000004
recursive,14,0.000005
recursive,15,0.000008
recursive,16,0.000012
recursive,17,0.000017
recursive,18,0.000026
recursive,19,0.000061
recursive,20,0.000065
recursive,21,0.000230
recursive,22,0.000249
recursive,23,0.000281
recursive,24,0.000429
recursive,25,0.000719
recursive,26,0.001124
recursive,27,0.002113
recursive,28,0.002942
recursive,29,0.004760
recursive,30,0.007899
recursive,31,0.017038
recursive,32,0.024050
recursive,33,0.031903
recursive,34,0.063473
recursive,35,0.093737
recursive,36,0.149416
recursive,37,0.243927
recursive,38,0.403913
recursive,39,0.601143
iterative,1,0.000002
iterative,2,0.000003
iterative,3,0.000003
iterative,4,0.000003
iterative,5,0.000003
iterative,6,0.000002
iterative,7,0.000001
iterative,8,0.000003
iterative,9,0.000002
iterative,10,0.000003
iterative,11,0.000003
iterative,12,0.000003
iterative,13,0.000004
iterative,14,0.000001
iterative,15,0.000002
iterative,16,0.000001
iterative,17,0.000001
iterative,18,0.000001
iterative,19,0.000002
iterative,20,0.000001
iterative,21,0.000001
iterative,22,0.000001
iterative,23,0.000001
iterative,24,0.000001
iterative,25,0.000001
iterative,26,0.000002
iterative,27,0.000001
iterative,28,0.000001
iterative,29,0.000001
iterative,30,0.000001
iterative,31,0.000001
iterative,32,0.000002
iterative,33,0.000002
iterative,34,0.000002
iterative,35,0.000002
iterative,36,0.000002
iterative,37,0.000002
iterative,38,0.000003
iterative,39,0.000002
